PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#
NNS-mussels	1	2	food	2																				
NN-lobster	1	2	food	2																				
NNS-enchiladas	1	2	food	2																				
NN-vegetable	1	2	food	2																				
NN-veggie	1	2	food	2																				
NN-grandma	1	2	food	2																				
NNS-hamburguers	1	2	food	2																				
NN-tail	1	2	food	2																				
NN-guacamole	1	2	food	2																				
NN-tuna	1	2	food	2																				
NNP-brawler	1	2	food	2																				
NNS-steaks	1	2	food	2																				
NNS-cookies	1	2	food	2																				
NNS-nachos	1	2	food	2																				
NN-bagel	1	2	food	2																				
NNS-sessions	1	2	event	2																				
NNP-nye	1	2	event	2																				
NN-finish	1	2	event	2																				
NNS-emissions	1	2	event	2																				
NN-emergency	1	2	event	2																				
NN-session	1	2	event	2																				
NN-reversal	1	2	event	2																				
NNS-events	1	2	event	2																				
NN-break	1	2	event	2																				
NNS-appointments	1	2	event	2																				
NN-disaster	1	2	event	2																				
NN-holiday	1	2	event	2																				
NN-vacation	1	2	event	2																				
VBD-appreciated	1	2	emotion	2																				
VBG-loving	1	2	emotion	2																				
VBD-hated	1	2	emotion	2																				
VBP-hate	1	2	emotion	2																				
VBN-built	1	2	creation	2																				
VBG-pushing	1	2	contact	2																				
VB-drink	1	2	consumption	2																				
VBD-warned	1	2	communication	2																				
VBZ-listens	1	2	communication	2																				
VBP-suggest	1	2	communication	2																				
VBP-write	1	2	communication	2																				
NN-bs	1	2	communication	2																				
NN-request	1	2	communication	2																				
VBN-answered	1	2	communication	2																				
VBG-signing	1	2	communication	2																				
VBP-laugh	1	2	communication	2																				
VBG-explaining	1	2	communication	2																				
VBN-guaranteed	1	2	communication	2																				
VB-state	1	2	communication	2																				
VBG-yelling	1	2	communication	2																				
VBP-reccomend	1	2	communication	2																				
NN-telephone	1	2	communication	2																				
NN-feedback	1	2	communication	2																				
VBN-read	1	2	communication	2																				
VBD-responded	1	2	communication	2																				
VB-recomend	1	2	communication	2																				
VBD-phoned	1	2	communication	2																				
VBP-guarantee	1	2	communication	2																				
VB-admit	1	2	communication	2																				
VB-sign	1	2	communication	2																				
VBG-suggesting	1	2	communication	2																				
NN-conversation	1	2	communication	2																				
VB-argue	1	2	communication	2																				
VBD-expressed	1	2	communication	2																				
VBG-answering	1	2	communication	2																				
VBD-giggled	1	2	communication	2																				
VBN-marked	1	2	communication	2																				
NNS-numbers	1	2	communication	2																				
VBD-contacted	1	2	communication	2																				
NNS-excuses	1	2	communication	2																				
VBN-yelled	1	2	communication	2																				
VBD-admitted	1	2	communication	2																				
VB-discuss	1	2	communication	2																				
VBG-chatting	1	2	communication	2																				
VBG-complaining	1	2	communication	2																				
NNS-websites	1	2	communication	2																				
NNS-songs	1	2	communication	2																				
NNS-conversations	1	2	communication	2																				
VBD-requested	1	2	communication	2																				
VBD-hung	1	2	communication	2																				
VBD-complained	1	2	communication	2																				
VBZ-suggests	1	2	communication	2																				
VBD-inquired	1	2	communication	2																				
NN-channel	1	2	communication	2																				
NNS-compliments	1	2	communication	2																				
NNP-youtube	1	2	communication	2																				
VBN-named	1	2	communication	2																				
VB-reccommend	1	2	communication	2																				
VB-contact	1	2	communication	2																				
VBN-listed	1	2	communication	2																				
VB-spread	1	2	communication	2																				
NN-promotion	1	2	communication	2																				
VBD-googled	1	2	communication	2																				
VBG-asking	1	2	communication	2																				
VBD-emailed	1	2	communication	2																				
NN-recording	1	2	communication	2																				
VB-describe	1	2	communication	2																				
NN-application	1	2	communication	2																				
VBZ-sounds	1	2	cognition	2																				
NNS-favorites	1	2	cognition	2																				
NNS-responsibilities	1	2	cognition	2																				
VBD-wished	1	2	cognition	2																				
VBD-discovered	1	2	cognition	2																				
VBP-learn	1	2	cognition	2																				
VBG-thinking	1	2	cognition	2																				
VBP-understand	1	2	cognition	2																				
NN-range	1	2	cognition	2																				
NNS-selections	1	2	cognition	2																				
VBZ-deserves	1	2	cognition	2																				
VB-figure	1	2	cognition	2																				
NN-reputation	1	2	cognition	2																				
NN-economy	1	2	cognition	2																				
VBG-regarding	1	2	cognition	2																				
VBP-try	1	2	cognition	2																				
NN-karma	1	2	cognition	2																				
NNS-ideas	1	2	cognition	2																				
VBD-trusted	1	2	cognition	2																				
VB-realize	1	2	cognition	2																				
VBP-remember	1	2	cognition	2																				
NN-doubt	1	2	cognition	2																				
VBG-wanting	1	2	cognition	2																				
VBP-expect	1	2	cognition	2																				
VBP-figure	1	2	cognition	2																				
NN-position	1	2	cognition	2																				
NN-opinion	1	2	cognition	2																				
NN-search	1	2	cognition	2																				
VBD-remembered	1	2	cognition	2																				
NN-reality	1	2	cognition	2																				
VBP-wonder	1	2	cognition	2																				
VB-diagnose	1	2	cognition	2																				
VBP-prefer	1	2	cognition	2																				
VBP-choose	1	2	cognition	2																				
VB-achieve	1	2	cognition	2																				
NNS-awards	1	2	cognition	2																				
NN-proof	1	2	cognition	2																				
VBN-chosen	1	2	cognition	2																				
VBD-believed	1	2	cognition	2																				
VBP-consider	1	2	cognition	2																				
VB-decide	1	2	cognition	2																				
NN-education	1	2	cognition	2																				
NN-exception	1	2	cognition	2																				
VBN-expected	1	2	cognition	2																				
VBD-prepared	1	2	cognition	2																				
VBN-wanted	1	2	cognition	2																				
NN-dui	1	2	cognition	2																				
NN-info	1	2	cognition	2																				
NN-assortment	1	2	cognition	2																				
VBD-considered	1	2	cognition	2																				
NN-rubbish	1	2	cognition	2																				
NNS-kinds	1	2	cognition	2																				
NNP-hell	1	2	cognition	2																				
VB-notice	1	2	cognition	2																				
VBP-decide	1	2	cognition	2																				
VBN-shut	1	2	change	2																				
VBD-replaced	1	2	change	2																				
VB-complete	1	2	change	2																				
VBG-removing	1	2	change	2																				
VBN-improved	1	2	change	2																				
VBD-added	1	2	change	2																				
VB-improve	1	2	change	2																				
VB-die	1	2	change	2																				
VBD-finished	1	2	change	2																				
VB-update	1	2	change	2																				
VBN-changed	1	2	change	2																				
VB-grow	1	2	change	2																				
VB-skip	1	2	change	2																				
NNS-shoulders	1	2	body	2																				
JJ-deep	1	2	body	2																				
VBD-pounded	1	2	body	2																				
NN-foot	1	2	body	2																				
NNS-teeth	1	2	body	2																				
VB-style	1	2	body	2																				
NNS-nails	1	2	body	2																				
NN-body	1	2	body	2																				
JJ-ingrown	1	2	body	2																				
NNS-toes	1	2	body	2																				
NN-heart	1	2	body	2																				
NN-flexibility	1	2	attribute	2																				
NN-integrity	1	2	attribute	2																				
NN-accessibility	1	2	attribute	2																				
NNS-tints	1	2	attribute	2																				
NN-honesty	1	2	attribute	2																				
NN-talent	1	2	attribute	2																				
NNS-routes	1	2	artifact	2																				
NN-ventilator	1	2	artifact	2																				
NN-purse	1	2	artifact	2																				
NNP-lexus	1	2	artifact	2																				
NN-drawer	1	2	artifact	2																				
NN-queen	1	2	artifact	2																				
NNS-suitcases	1	2	artifact	2																				
NN-laptop	1	2	artifact	2																				
NNS-alarms	1	2	artifact	2																				
NNS-copies	1	2	artifact	2																				
NNS-appliances	1	2	artifact	2																				
NN-bottle	1	2	artifact	2																				
NNS-inserts	1	2	artifact	2																				
NNS-legs	1	2	artifact	2																				
NN-permit	1	2	artifact	2																				
NN-bag	1	2	artifact	2																				
NN-van	1	2	artifact	2																				
NNS-shoes	1	2	artifact	2																				
NN-limo	1	2	artifact	2																				
